"running_HR_25p","running_HR_max","running_HR_75p","running_HR_mean","training_RPE","daily_wellness_sleep","daily_wellness_fatigue","daily_wellness_stress","daily_wellness_soreness","daily_wellness_mood","daily_HRrest","training_daypart_evening","training_daypart_morning","training_session_Ext interval","training_session_Ext tempo","training_session_Fartlek","training_session_Int endurance","training_session_Int interval","training_session_Int tempo","readiness_notready","TRIMP","SHRZ","wellness","HRR"
158,161,160,150.767780938834,"5",3,2.5,2.5,2.5,3,60,0,1,0,0,0,1,0,0,0,7045.88096254151,98.8029736312497,2.7,101
157,164,159,149.191919191919,"4",2.5,2,3,2.5,3,58,0,0,0,0,0,0,0,0,0,6713.63636363635,99.3838059370848,2.6,106
143,154,145,139.242049469965,"3",2.5,2.5,3,2.5,3.5,60,0,1,0,0,0,0,0,0,0,3917.34299175502,63.4084222574002,2.8,94
153,165,155,149.409535972754,"4",2.5,2.5,3.5,2.5,3.5,60,1,0,0,0,0,1,0,0,0,5831.95222080316,87.0952959913918,2.9,105
150,161,154,143.312638580931,"4",2.5,2.5,3.5,3,3.5,59,0,1,0,0,0,0,0,0,0,6384.57804878048,102.402085207101,3,102
178,199,190,167.989606126915,"7",3.5,2,2.5,3,3,63,0,0,0,0,0,0,1,0,0,5118.08333333334,74.9844385276578,2.8,136
153,166,156,144.719036144578,"3",3.5,2.5,3.5,3,3,62,0,0,0,0,0,0,0,0,0,4966.27492369477,81.975971304615,3.1,104
163,174,169,153.824609733701,"4",2.5,2.5,3.5,3,3.5,61,0,1,0,0,0,1,0,0,0,7122.07943067036,107.090242862513,3,113
155,165,157,151.682134570766,"4",3.5,3.5,4,3,3.5,64,0,1,0,0,0,1,0,0,0,4358.33333333334,62.8854064018767,3.5,101
169,183,172,161.520460358056,"7",3.5,3,4,3.5,4,60,0,1,0,0,0,0,0,1,0,4234.5280690537,60.3507409086903,3.6,123
155,166,157,149.639302694136,"4",4.5,3.5,4,3.5,3.5,60,0,1,0,0,0,0,0,0,0,7778.74975171684,116.795233995258,3.8,106
161,176,166,154.669230769231,"7",4,4,3.5,3,4,61,0,0,0,0,0,0,1,0,0,4013.66653846154,60.5329514658781,3.7,115
154,174,158,147.06714801444,"5",2,2,2.5,3,3,56,1,0,0,0,0,0,0,0,0,3380.09328519855,56.5831196615082,2.5,118
157,169,160,149.568039391227,"5",3.5,3,2.5,2.5,3.5,57,0,1,0,0,0,0,0,0,0,10910.98847359,167.70107806206,3,112
152,161,156,147.2218769422,"5",3.5,3,2,2,3,56,0,0,0,0,0,0,0,0,0,3930.82411435674,58.3922429416254,2.7,105
151,162,154,145.100369458128,"5",4,3,2,3,3,56,1,0,0,0,0,0,0,0,0,3900.78159893267,60.7663398733463,3,106
